Jean,"They're not scared of you, they're scared of me. You're not the only one who can't fully control your powers."
Scott,"Wait, so... Last night, when the house shook... That was you?"
Jean,"Sorry to break it to you, but you are not the biggest freak of this school."
Scott,Well. That's a first.
Hank,Raven. Wow. Uh. - I... You're...
Raven,Not blue? It's like you and I have that in common now.
Hank,"No. No, I meant... You're... You're back. I never thought I would see you here again."
Raven,"Yeah, me neither."
Kurt,I'm blue. I'm Kurt.
Raven,"Oh, right."
Kurt,Kurt Wagner.
Hank,Welcome.
Caliban,We're closed. I knew I felt a chill in the air. How did you get in here?
Storm,We let ourselves in.
Apocalypse,"We are looking for mutants. Since you know where to find them, we came here."
Caliban,Caliban doesn't know you.
Apocalypse,We are looking for the strongest.
Psylocke,Everything alright?
Caliban,"I'm fine, Psylocke. How much money do you have?"
Apocalypse,None.
Caliban,"Like Caliban said... We are closed, yeah?"
Apocalypse,"I need your help, my child."
Caliban,You don't look Caliban's father. Maybe a little bit up here.
Apocalypse,"You are all my children. And you are lost, because you follow blind leaders. These false gods. Systems of the weak. They ruined my world... ... no more."
Psylocke,What do you want?
Apocalypse,I want you... To feel the full reach of your power. You've only have a taste of your true strength. Unlike others who seek to control you. I want to set you free.
Psylocke,I know the kind of mutants you are looking for. And I know where to find them.
Kurt,It's my first time in America. I am very excited to see your culture.
Jubilee,"Well, you are not going to see it here. The only thing American about this place is that it used to be British. This is Scott. He is new here too."
Scott,And I'm already up for a prison break. What do you say we take this blue guy on a little field trip? I'm sure there's a mall around here somewhere.
Kurt,What's a mall?
Scott,What's a mall? Alright. Now it's a matter of national pride. - Civic duty.
Jean,Scott.
Scott,What? You've been cooped up here for a long time. And the Professor is not even home.
Kurt,I-I like to go to the mall.
Scott,Try it. - Alright. Where does he keep his cars?
Warren,"Faire pisse. Or should I say, ""Piss off""?"
Storm,This is the guy?
Psylocke,He used to be. I didn't know his wings were... Let's get out of here. His fighting days are done.
Apocalypse,"No, they're not."
Warren,What the hell is this?
Apocalypse,I want to give you something.
Warren,There is nothing you can give me that I want.
Apocalypse,"Yes, there is. Yes, my son. Yes. Rise, my angel. Rise."
Hank,"Hypersonic, blast resistance, stealth technology."
Raven,That's impressive. How are you ever gonna get it out of here?
Hank,"Well, that's okay. I built a retractable roof into the basketball court."
Raven,"Hank, you're building a warplane down here."
Hank,"After what happened in Washington, I thought we would come back to start the X-Men. Like we always talked about, but... Charles wants students not soldiers. He thinks the best of people. He has hope."
Raven,And you?
Hank,"You know, I think we should hope for the best. And prepare for the worst. I think the world needs the X-Men. Maybe, now that you're back you can help me convince him - ... we can start it together."
Raven,"Hank, I'm here about Erik."
Hank," Right. Erik. Yeah, of course. Of course."
Raven,I think he might be in some kind of trouble. Real trouble.
Hank,Isn't he always?
Erik,Some of you spoke to the police... About what your believed you witnessed here yesterday. You want to know my past? Know who I am? See what I can do? I'll show you. Think about the person you love most in your life. Your wife. Mother. Daughter. Now that person will know what it is to lose someone they love. And live with that pain. - Forever.
Worker,"Henryk, please. Don't do this."
Erik,"My name isn't Henryk. My name is Magneto. Who the fuck are you? Stay back. Whoever you are, don't try to stop me from killing these men."
Apocalypse,I'm not here for them. I'm here for you. Come and see. This is where your power was born. And this is where your people were slaughtered.
Erik,You shouldn't have brought me here.
Apocalypse,"Why? Are you afraid to be here? You can't escape it, Erik."
Erik,Who are you?
Apocalypse,"Elohim, Shen, Ra. I've been called many names over many lifetimes. I am born of death. I was there to spark and fan the flame of man's awakening, to spin the wheel of civilization. And when the forest would grow rank and in need of clearing for new growth... I was there to set it ablaze."
Erik,Where were you? When my father and mother were slaughtered in this place?
Apocalypse,"Asleep. Trapped in darkness. I was not there for you, my son. But I am here now. You don't know your own strength, but I do. Reach down. Feel the metal in the ground. Reach, as deep as you can. You'll find you have the power to move the very Earth itself. Everything they've built will fall! And from the ashes of their world, we'll build a better one!"
Reporter,"Lehnsherr was identified yesterday in this small town, in central Poland. Leaders from all communities are urging their citizens to remain calm as police and armed forces are mobilizing to find Lehnsherr before he can strike again. If anyone has information about Lehnsherr, or as he is also known as Magneto. Contact you local authorities immediately. And proceed with caution. - As he is considered extremely dangerous."
Peter's Mom,Peter.
Peter,What's up?
Peter's Mom,I'm just checking on you.
Peter,"I'm good, playing Pac-Man."
Peter's Mom,Are you sure you weren't watching this?
Reporter,The world was celebrating 10 years of peace between mutants and mankind.
Peter's Mom,"You're going after him, aren't you?"
Peter,"You wanted me to get out of the house more, right?"
Peter's Mom,I can't stop you.
Peter,Nobody can.
Peter's Mom,Trust me. This won't end well. Nothing does with him.
Peter,I'm not afraid of him.
Peter's Mom,You should be. XAVIER'S SCHOOL FOR GIFTED YOUNGSTERS
Moira,"I've read so much about this place. But being here, it actually seems kind of... ... familiar."
